manual_label,current_path,image_name,parse_ok,camera,video_datetime,video_start,frame_number,fps,frame_timestamp,year,month,day,hour,minute
animal,active_review_batch_003/animal/10.0.11.2_202307010646.mp4_frame_00082.jpg,10.0.11.2_202307010646.mp4_frame_00082.jpg,True,10.0.11.2,202307010646,2023-07-01 06:46:00,82,26,2023-07-01 06:46:03.153846,2023,7,1,6,46
animal,active_review_batch_003/animal/10.0.11.2_202307010746.mp4_frame_01333.jpg,10.0.11.2_202307010746.mp4_frame_01333.jpg,True,10.0.11.2,202307010746,2023-07-01 07:46:00,1333,26,2023-07-01 07:46:51.269231,2023,7,1,7,46
animal,active_review_batch_003/animal/10.0.11.2_202307011446.mp4_frame_00865.jpg,10.0.11.2_202307011446.mp4_frame_00865.jpg,True,10.0.11.2,202307011446,2023-07-01 14:46:00,865,26,2023-07-01 14:46:33.269231,2023,7,1,14,46
animal,active_review_batch_003/animal/10.0.11.2_202307020948.mp4_frame_00015.jpg,10.0.11.2_202307020948.mp4_frame_00015.jpg,True,10.0.11.2,202307020948,2023-07-02 09:48:00,15,26,2023-07-02 09:48:00.576923,2023,7,2,9,48
animal,active_review_batch_003/animal/10.0.11.2_202307021346.mp4_frame_00823.jpg,10.0.11.2_202307021346.mp4_frame_00823.jpg,True,10.0.11.2,202307021346,2023-07-02 13:46:00,823,26,2023-07-02 13:46:31.653846,2023,7,2,13,46
animal,active_review_batch_003/animal/10.0.11.2_202307021846.mp4_frame_00573.jpg,10.0.11.2_202307021846.mp4_frame_00573.jpg,True,10.0.11.2,202307021846,2023-07-02 18:46:00,573,26,2023-07-02 18:46:22.038462,2023,7,2,18,46
animal,active_review_batch_003/animal/10.0.11.2_202307030048.mp4_frame_00321.jpg,10.0.11.2_202307030048.mp4_frame_00321.jpg,True,10.0.11.2,202307030048,2023-07-03 00:48:00,321,26,2023-07-03 00:48:12.346154,2023,7,3,0,48
animal,active_review_batch_003/animal/10.0.11.2_202307031146.mp4_frame_00792.jpg,10.0.11.2_202307031146.mp4_frame_00792.jpg,True,10.0.11.2,202307031146,2023-07-03 11:46:00,792,26,2023-07-03 11:46:30.461538,2023,7,3,11,46
animal,active_review_batch_003/animal/10.0.11.2_202307032048.mp4_frame_01231.jpg,10.0.11.2_202307032048.mp4_frame_01231.jpg,True,10.0.11.2,202307032048,2023-07-03 20:48:00,1231,26,2023-07-03 20:48:47.346154,2023,7,3,20,48
animal,active_review_batch_003/animal/10.0.11.2_202307041846.mp4_frame_00451.jpg,10.0.11.2_202307041846.mp4_frame_00451.jpg,True,10.0.11.2,202307041846,2023-07-04 18:46:00,451,26,2023-07-04 18:46:17.346154,2023,7,4,18,46
animal,active_review_batch_003/animal/10.0.11.2_202307052246.mp4_frame_01155.jpg,10.0.11.2_202307052246.mp4_frame_01155.jpg,True,10.0.11.2,202307052246,2023-07-05 22:46:00,1155,26,2023-07-05 22:46:44.423077,2023,7,5,22,46
animal,active_review_batch_003/animal/10.0.11.2_202307060848.mp4_frame_01469.jpg,10.0.11.2_202307060848.mp4_frame_01469.jpg,True,10.0.11.2,202307060848,2023-07-06 08:48:00,1469,26,2023-07-06 08:48:56.500000,2023,7,6,8,48
